Td	ID	Tj	DF	Dd	Db	Ta


4	4	2	1	1	2	3

4	2	2	1	1	2	3

4	6	2	1	1	2	3

5	2020	3	1	1	2	4

5	2013	1	2	2	4	3

5	11	4	1	0	1	5

6	13	4	1	1	2	5

7	2019	3	1	3	4	4

7	9	4	1	2	3	5

8	2016	3	1	4	5	4

8	2023	4	1	3	4	5

8	2022	4	1	3	4	5

8	2008	1	2	5	7	3

8	2004	0	3	5	8	3

8	2003	0	3	5	8	3

8	2014	3	1	4	5	4

8	18	7	1	0	1	8

8	10	4	1	3	4	5

9	2018	3	1	5	6	4

9	2001	0	3	6	9	3

9	2011	1	2	6	8	3

9	2010	1	2	6	8	3

9	17	7	1	1	2	8

10	2012	1	2	7	9	3

10	2026	4	1	5	6	5

10	21	7	1	2	3	8

11	2028	7	1	3	4	8

11	2034	7	1	3	4	8

11	2015	3	1	7	8	4

12	2027	4	1	7	8	5

12	2006	0	3	9	12	3

12	2005	0	3	9	12	3

13	2032	7	1	5	6	8

13	2025	4	2	7	9	6

13	26	11	1	1	2	12

13	28	11	1	1	2	12

14	2036	10	2	2	4	12

14	15	7	1	6	7	8

14	16	7	1	6	7	8

14	23	11	1	2	3	12

14	27	11	1	2	3	12

15	2017	3	1	11	12	4

15	2037	10	2	3	5	12

15	2009	1	2	12	14	3

15	2029	7	1	7	8	8

17	2041	10	1	6	7	11

17	2039	10	1	6	7	11

17	2047	12	1	4	5	13

17	2053	13	1	3	4	14

17	2055	13	1	3	4	14

17	2044	12	1	4	5	13

17	2046	12	1	4	5	13

17	2038	10	2	5	7	12

17	2035	10	2	5	7	12

18	2052	13	1	4	5	14

18	2045	12	1	5	6	13

18	39	16	1	1	2	17

18	37	16	1	1	2	17

18	36	16	1	1	2	17

18	38	16	1	1	2	17

18	35	15	1	2	3	16

19	2054	13	1	5	6	14

19	2050	13	2	4	6	15

19	2043	12	1	6	7	13

19	2051	13	1	5	6	14

19	24	11	1	7	8	12

20	2042	12	1	7	8	13

20	33	15	1	4	5	16

21	47	18	1	2	3	19

21	44	18	1	2	3	19

21	55	19	1	1	2	20

21	53	19	1	1	2	20

21	51	19	1	1	2	20

22	2057	17	1	4	5	18

25	2058	17	1	7	8	18

25	45	18	1	6	7	19

25	54	19	1	5	6	20

25	48	18	1	6	7	19

25	40	16	1	8	9	17

25	34	15	1	9	10	16

25	31	15	1	9	10	16

25	30	15	1	9	10	16

25	29	15	1	9	10	16

26	46	18	1	7	8	19

26	50	19	1	6	7	20

27	43	18	1	8	9	19

29	2060	17	1	11	12	18

30	2069	24	1	5	6	25

30	2075	25	1	4	5	26

31	2063	24	1	6	7	25

31	2066	24	1	6	7	25

31	2072	25	1	5	6	26

31	2074	25	1	5	6	26

32	2076	25	1	6	7	26

32	2070	25	1	6	7	26

32	2064	24	1	7	8	25

34	2068	24	1	9	10	25

34	2065	24	1	9	10	25

0	32	15	1	-16	-15	16

35	52	19	1	15	16	20

35	49	18	1	16	17	19

